Pot,Variety,Leaf,eggs
1,Control,1,2
1,Control,2,13
1,Control,3,20
1,Control,4,12
2,A,1,14
2,A,2,33
2,A,3,22
2,A,4,12
3,Control,1,43
3,Control,2,24
3,Control,3,67
3,Control,4,28
4,Control,1,5
4,Control,2,2
4,Control,3,25
4,Control,4,9
5,Control,1,41
5,Control,2,42
5,Control,3,20
5,Control,4,14
6,A,1,1
6,A,2,33
6,A,3,17
6,A,4,10
7,Control,1,22
7,Control,2,31
7,Control,3,36
7,Control,4,26
8,B,1,1
8,B,2,3
8,B,3,1
8,B,4,0
9,A,1,34
9,A,2,42
9,A,3,44
9,A,4,44
10,B,1,0
10,B,2,5
10,B,3,0
10,B,4,1
11,B,1,0
11,B,2,2
11,B,3,0
11,B,4,3
12,A,1,13
12,A,2,14
12,A,3,16
12,A,4,6
13,A,1,8
13,A,2,7
13,A,3,8
13,A,4,10
14,B,1,5
14,B,2,2
14,B,3,1
14,B,4,2
15,B,1,19
15,B,2,9
15,B,3,10
15,B,4,6
